Month,artist_names,streams
2023-06,Taylor Swift,143640853
2023-06,Morgan Wallen,63874476
2023-06,Arctic Monkeys,52435723
2023-06,Harry Styles,52385255
2023-06,Bad Bunny,51671141
2023-06,Apache 207,49473037
2023-06,Miley Cyrus,37113130
2023-06,"Dave, Central Cee",32679436
2023-06,Junior H,32418501
2023-06,KAROL G,31565339
2023-07,Taylor Swift,255517570
2023-07,Morgan Wallen,75765666
2023-07,Arctic Monkeys,62353970
2023-07,NewJeans,60047507
2023-07,Ninho,51105674
2023-07,Alfredo Olivas,50481990
2023-07,KAROL G,48767983
2023-07,Bad Bunny,48625382
2023-07,Olivia Rodrigo,47173978
2023-07,Miley Cyrus,45911458
2023-08,Taylor Swift,229772276
2023-08,KAROL G,85177351
2023-08,NewJeans,79884420
2023-08,Morgan Wallen,75441328
2023-08,Alfredo Olivas,72685289
2023-08,Travis Scott,70701999
2023-08,Arctic Monkeys,69959437
2023-08,"Jung Kook, Latto",69819713
2023-08,Post Malone,62622753
2023-08,Dua Lipa,58568701
2023-09,Taylor Swift,163105657
2023-09,Olivia Rodrigo,135556695
2023-09,Zach Bryan,80950117
2023-09,AYLIVA,80527873
2023-09,Arctic Monkeys,68887792
2023-09,Alfredo Olivas,65776307
2023-09,Doja Cat,63265597
2023-09,KAROL G,62652796
2023-09,Miley Cyrus,51964644
2023-09,Bad Bunny,51707951
2023-10,Taylor Swift,160092897
2023-10,Bad Bunny,104322481
2023-10,Olivia Rodrigo,89347935
2023-10,Drake,75455782
2023-10,Junior H,73895305
2023-10,Doja Cat,67999974
2023-10,Arctic Monkeys,67913385
2023-10,Alfredo Olivas,59803360
2023-10,AYLIVA,57309102
2023-10,"Jung Kook, Jack Harlow",52536062
2023-11,Taylor Swift,417452983
2023-11,Alfredo Olivas,90356929
2023-11,Zach Bryan,77418227
2023-11,Bad Bunny,75602150
2023-11,Tate McRae,74737868
2023-11,Arctic Monkeys,74359715
2023-11,"Jung Kook, Latto",68237574
2023-11,Jung Kook,66146308
2023-11,Doja Cat,61091347
2023-11,Junior H,59456632
2023-12,Taylor Swift,141419685
2023-12,Michael Bublé,72690465
2023-12,Alfredo Olivas,71189962
2023-12,Tate McRae,70471394
2023-12,Arctic Monkeys,53461422
2023-12,Mariah Carey,48438989
2023-12,Natanael Cano,47249470
2023-12,Sia,44968041
2023-12,Dean Martin,44867632
2023-12,Henrique & Juliano,43986782
2024-01,Taylor Swift,161947733
2024-01,Alfredo Olivas,74419149
2024-01,Tate McRae,62784871
2024-01,Zach Bryan,56381627
2024-01,Arctic Monkeys,55654816
2024-01,Shubh,53015629
2024-01,Mrs. GREEN APPLE,52584758
2024-01,Henrique & Juliano,47722671
2024-01,Junior H,47217435
2024-01,Olivia Rodrigo,44236084
2024-02,Taylor Swift,223687062
2024-02,Alfredo Olivas,94812889
2024-02,"¥$, Kanye West, Ty Dolla $ign",89244515
2024-02,Dua Lipa,81768218
2024-02,Henrique & Juliano,77967658
2024-02,Mrs. GREEN APPLE,73504664
2024-02,Tate McRae,71040219
2024-02,Shubh,68810328
2024-02,Arctic Monkeys,67099228
2024-02,Werenoi,63416963
2024-03,Ariana Grande,141851188
2024-03,Taylor Swift,138907739
2024-03,Dua Lipa,74275921
2024-03,Henrique & Juliano,74184470
2024-03,Alfredo Olivas,62688213
2024-03,Tate McRae,61465553
2024-03,Arctic Monkeys,57358800
2024-03,Mrs. GREEN APPLE,55020250
2024-03,Shubh,54164792
2024-03,Benson Boone,49917626
2024-04,Taylor Swift,255740315
2024-04,Ariana Grande,93364549
2024-04,Benson Boone,76417805
2024-04,Beyoncé,76406366
2024-04,Henrique & Juliano,75339963
2024-04,Dua Lipa,62645611
2024-04,Shubh,59805000
2024-04,Mrs. GREEN APPLE,58372591
2024-04,Tate McRae,56068596
2024-04,SZA,55224713
2024-05,Taylor Swift,281167038
2024-05,Billie Eilish,185154193
2024-05,Benson Boone,102863220
2024-05,Henrique & Juliano,90794195
2024-05,Sabrina Carpenter,89318670
2024-05,Mrs. GREEN APPLE,85372598
2024-05,Alfredo Olivas,70621972
2024-05,Shubh,68657188
2024-05,SZA,65274897
2024-05,Artemas,61389116
2024-06,Billie Eilish,210937922
2024-06,Taylor Swift,133222441
2024-06,Sabrina Carpenter,111111304
2024-06,Mrs. GREEN APPLE,77994443
2024-06,Henrique & Juliano,76701179
2024-06,Benson Boone,76371511
2024-06,Shubh,61133238
2024-06,Eminem,60290280
2024-06,Luke Combs,53400060
2024-06,Hozier,53107169
2024-07,Billie Eilish,125476348
2024-07,Sabrina Carpenter,121613649
2024-07,Henrique & Juliano,91406531
2024-07,Mrs. GREEN APPLE,84003944
2024-07,Eminem,79018645
2024-07,Taylor Swift,73008296
2024-07,Benson Boone,64595849
2024-07,Shubh,55675708
2024-07,Zach Bryan,52369967
2024-07,Junior H,49674608
2024-08,Sabrina Carpenter,182715652
2024-08,Billie Eilish,120345382
2024-08,Mrs. GREEN APPLE,104775345
2024-08,Henrique & Juliano,100345033
2024-08,Chappell Roan,93785875
2024-08,Junior H,76103862
2024-08,Jimin,70759753
2024-08,Taylor Swift,69105195
2024-08,Benson Boone,68289952
2024-08,Shubh,67880958
2024-09,Sabrina Carpenter,234723041
2024-09,Billie Eilish,99726044
2024-09,Linkin Park,84187546
2024-09,Mrs. GREEN APPLE,80715697
2024-09,Henrique & Juliano,72606313
2024-09,Jimin,70796603
2024-09,Chappell Roan,65816559
2024-09,Benson Boone,52934633
2024-09,Luke Combs,52105411
2024-09,Natanael Cano,49098902
2024-10,Sabrina Carpenter,219419562
2024-10,Billie Eilish,136067358
2024-10,Linkin Park,130084993
2024-10,Henrique & Juliano,107651264
2024-10,Chappell Roan,98947031
2024-10,Mrs. GREEN APPLE,97482131
2024-10,Gracie Abrams,77772055
2024-10,Jimin,73206061
2024-10,Luke Combs,70297329
2024-10,"Lady Gaga, Bruno Mars",67846107
2024-11,Linkin Park,150726561
2024-11,Sabrina Carpenter,130152680
2024-11,Billie Eilish,115023630
2024-11,Henrique & Juliano,101221269
2024-11,Gracie Abrams,81988468
2024-11,Bruno Mars,77023115
2024-11,"ROSÉ, Bruno Mars",71345419
2024-11,Mrs. GREEN APPLE,69739786
2024-11,Chappell Roan,64815798
2024-11,Luke Combs,58535589
2024-12,Sabrina Carpenter,58664467
2024-12,Billie Eilish,46784963
2024-12,Henrique & Juliano,44177111
2024-12,Mrs. GREEN APPLE,39737146
2024-12,Linkin Park,37965274
2024-12,"ROSÉ, Bruno Mars",35007481
2024-12,Gracie Abrams,32394554
2024-12,back number,29157385
2024-12,Jimin,28864883
2024-12,Bruno Mars,28012104
